rainDetected,rainIntensity,rainRiskPercent,lux,indoorTempC,windKmh,windowOpenPercent,blindClosedPercent
false,0,8,68000,22.4,6,82,10
false,0,12,59000,23.1,8,78,18
false,0,18,47000,23.8,11,72,28
false,0,24,36000,24.5,14,66,36
false,0,31,29000,25.0,16,61,44
false,0,38,23000,25.4,19,55,52
false,0,46,18000,24.9,22,48,60
true,18,58,15000,24.1,24,42,68
true,32,69,12000,23.4,27,35,76
true,45,78,9800,22.8,30,28,84
true,61,86,7600,22.2,34,18,92
true,78,94,5400,21.7,39,8,100
true,88,97,4200,21.3,45,0,100
true,70,91,6900,21.6,36,12,96
true,52,83,10400,22.0,31,22,88
true,35,74,13800,22.5,26,34,78
false,0,49,21000,23.0,21,49,61
false,0,36,31000,23.7,17,62,43
false,0,25,43000,24.2,13,70,30
false,0,16,56000,24.8,9,77,18
false,0,10,72000,25.5,7,84,8
false,0,14,64000,26.1,10,80,14
false,0,28,39000,25.2,18,60,40
true,24,63,16000,23.6,25,38,72
